date,n_trialers,cvr
2021-01-01,44,0.4545454545454545
2021-01-02,51,0.392156862745098
2021-01-03,56,0.5
2021-01-04,71,0.4507042253521127
2021-01-05,56,0.4285714285714285
2021-01-06,77,0.4545454545454545
2021-01-07,67,0.4626865671641791
2021-01-08,63,0.5396825396825397
2021-01-09,56,0.4464285714285714
2021-01-10,59,0.5084745762711864
2021-01-11,85,0.5529411764705883
2021-01-12,66,0.5303030303030303
2021-01-13,66,0.5
2021-01-14,62,0.3870967741935484
2021-01-15,57,0.4035087719298245
2021-01-16,57,0.5087719298245614
2021-01-17,51,0.5686274509803921
2021-01-18,84,0.5595238095238095
2021-01-19,80,0.65
2021-01-20,72,0.5277777777777778
2021-01-21,74,0.3648648648648648
2021-01-22,63,0.4126984126984127
2021-01-23,66,0.5151515151515151
2021-01-24,50,0.56
2021-01-25,82,0.5975609756097561
2021-01-26,84,0.4523809523809524
2021-01-27,82,0.5487804878048781
2021-01-28,73,0.4246575342465753
2021-01-29,64,0.484375
2021-01-30,34,0.5
2021-01-31,53,0.5283018867924528
2021-02-01,83,0.4819277108433735
2021-02-02,66,0.4848484848484848
2021-02-03,80,0.475
2021-02-04,84,0.5833333333333334
2021-02-05,57,0.5087719298245614
2021-02-06,47,0.5106382978723404
2021-02-07,51,0.5882352941176471
2021-02-08,83,0.4578313253012048
2021-02-09,90,0.4888888888888889
2021-02-10,74,0.5675675675675675
2021-02-11,59,0.4067796610169492
2021-02-12,79,0.5063291139240507
2021-02-13,57,0.5789473684210527
2021-02-14,53,0.3396226415094339
2021-02-15,77,0.4675324675324675
2021-02-16,85,0.5647058823529412
2021-02-17,98,0.4387755102040816
2021-02-18,96,0.4479166666666667
2021-02-19,66,0.4696969696969697
2021-02-20,91,0.5494505494505495
2021-02-21,80,0.625
2021-02-22,115,0.4956521739130435
2021-02-23,97,0.4845360824742268
2021-02-24,89,0.4719101123595505
2021-02-25,71,0.4647887323943662
2021-02-26,57,0.4912280701754385
2021-02-27,48,0.5416666666666666
2021-02-28,67,0.5074626865671642
2021-03-01,92,0.5760869565217391
2021-03-02,62,0.4677419354838709
2021-03-03,67,0.5074626865671642
2021-03-04,55,0.5636363636363636
2021-03-05,54,0.5
2021-03-06,45,0.5111111111111111
2021-03-07,52,0.3653846153846153
2021-03-08,61,0.4590163934426229
2021-03-09,61,0.5409836065573771
2021-03-10,61,0.5409836065573771
2021-03-11,65,0.4923076923076923
2021-03-12,45,0.4888888888888889
2021-03-13,36,0.3611111111111111
2021-03-14,55,0.4727272727272727
2021-03-15,82,0.5609756097560976
2021-03-16,68,0.4411764705882353
2021-03-17,53,0.4339622641509434
2021-03-18,46,0.4565217391304347
2021-03-19,60,0.4666666666666667
2021-03-20,46,0.5652173913043478
2021-03-21,68,0.4705882352941176
2021-03-22,93,0.3978494623655914
2021-03-23,97,0.4020618556701031
2021-03-24,76,0.5921052631578947
2021-03-25,74,0.5135135135135135
2021-03-26,45,0.4444444444444444
2021-03-27,60,0.5166666666666667
2021-03-28,93,0.4301075268817204
2021-03-29,102,0.4901960784313725
2021-03-30,116,0.5517241379310345
2021-03-31,78,0.4487179487179487
2021-04-01,75,0.5333333333333333
2021-04-02,86,0.5232558139534884
2021-04-03,63,0.5238095238095238
2021-04-04,58,0.5862068965517241
2021-04-05,115,0.5217391304347826
2021-04-06,119,0.5210084033613446
2021-04-07,98,0.4489795918367347
2021-04-08,76,0.4210526315789473
2021-04-09,74,0.4189189189189189
2021-04-10,63,0.4603174603174603
2021-04-11,83,0.5180722891566265
2021-04-12,117,0.4102564102564102
2021-04-13,96,0.53125
2021-04-14,86,0.4302325581395348
2021-04-15,114,0.5087719298245614
2021-04-16,82,0.5853658536585366
2021-04-17,82,0.4634146341463415
2021-04-18,68,0.5882352941176471
2021-04-19,114,0.4298245614035088
2021-04-20,94,0.4680851063829787
2021-04-21,87,0.4482758620689655
2021-04-22,104,0.5288461538461539
2021-04-23,100,0.41
2021-04-24,54,0.3703703703703703
2021-04-25,99,0.404040404040404
2021-04-26,103,0.4951456310679611
2021-04-27,98,0.4591836734693877
2021-04-28,119,0.4621848739495798
2021-04-29,106,0.5188679245283019
2021-04-30,101,0.4554455445544554
2021-05-01,70,0.4571428571428571
2021-05-02,86,0.4302325581395348
2021-05-03,156,0.4935897435897436
2021-05-04,136,0.5073529411764706
2021-05-05,108,0.5092592592592593
2021-05-06,126,0.4444444444444444
2021-05-07,95,0.4210526315789473
2021-05-08,92,0.391304347826087
2021-05-09,93,0.5053763440860215
2021-05-10,184,0.4945652173913043
2021-05-11,317,0.4479495268138801
2021-05-12,403,0.4044665012406948
2021-05-13,307,0.4104234527687296
2021-05-14,220,0.4545454545454545
2021-05-15,186,0.4032258064516129
2021-05-16,237,0.4345991561181435
2021-05-17,290,0.4172413793103448
2021-05-18,247,0.4979757085020243
2021-05-19,256,0.421875
2021-05-20,239,0.3849372384937238
2021-05-21,192,0.4166666666666667
2021-05-22,171,0.4912280701754385
2021-05-23,199,0.4874371859296482
2021-05-24,319,0.5109717868338558
2021-05-25,489,0.4294478527607362
2021-05-26,410,0.448780487804878
2021-05-27,291,0.4982817869415807
2021-05-28,250,0.512
2021-05-29,193,0.4507772020725388
2021-05-30,234,0.5256410256410257
2021-05-31,261,0.5019157088122606
2021-06-01,384,0.4557291666666667
2021-06-02,361,0.4570637119113573
2021-06-03,356,0.4775280898876404
2021-06-04,276,0.5036231884057971
2021-06-05,197,0.4467005076142132
2021-06-06,297,0.5016835016835017
2021-06-07,438,0.4497716894977169
